groupId	artifactId	version	license	organization	url
ch.qos.logback	logback-classic	1.2.3			
ch.qos.logback	logback-core	1.2.3			
cn.hutool	hutool-all	5.3.7			
com.alibaba	fastjson	1.2.69			
com.alibaba.cloud	spring-cloud-starter-alibaba-nacos-discovery	2.2.1.RELEASE			
com.aliyun	aliyun-java-sdk-core	4.5.3			
com.chinamobile.cmos	sms-core	2.1.12.1			
com.fasterxml.jackson.core	jackson-databind	2.11.0			
com.google.protobuf	protobuf-java	3.11.0			
com.h2database	h2	1.4.200			
com.hazelcast	hazelcast	4.2			
com.oracle.database.jdbc	ojdbc8	19.8.0.0			
com.oracle.database.nls	orai18n	19.8.0.0			
com.squareup.okhttp3	mockwebserver	3.14.9			
com.squareup.okhttp3	okhttp	3.14.9			
com.zaxxer	HikariCP	3.4.5			
commons-codec	commons-codec	1.14			
commons-discovery	commons-discovery	0.5			
commons-httpclient	commons-httpclient	3.0			
io.grpc	grpc-netty	1.29.0			
io.grpc	grpc-protobuf	1.29.0			
io.grpc	grpc-stub	1.29.0			
io.grpc	grpc-testing	1.29.0			
io.micrometer	micrometer-registry-prometheus	1.5.1			
io.netty	netty-buffer	4.1.50.Final			
io.netty	netty-common	4.1.50.Final			
io.netty	netty-handler	4.1.50.Final			
io.netty	netty-transport	4.1.50.Final			
io.netty	netty-transport-native-epoll	4.1.50.Final			
io.netty	netty-transport-native-kqueue	4.1.50.Final			
io.rest-assured	rest-assured	3.3.0			
joda-time	joda-time	2.10.6			
junit	junit	4.13			
net.freeutils	jcharset	2.1			
org.apache.axis	axis	1.4			
org.apache.axis	axis-jaxrpc	1.4			
org.apache.commons	commons-lang3	3.10			
org.apache.commons	commons-text	1.9			
org.assertj	assertj-core	3.16.1			
org.awaitility	awaitility	3.0.0			
org.dom4j	dom4j	2.1.3			
org.freemarker	freemarker	2.3.30			
org.glassfish	javax.el	3.0.0			
org.hibernate.validator	hibernate-validator	6.1.5.Final			
org.jsmpp	jsmpp	2.3.10			
org.junit.jupiter	junit-jupiter	5.6.2			
org.mockito	mockito-core	2.16.0			
org.mybatis	mybatis	3.5.4			
org.postgresql	postgresql	42.2.9			
org.projectlombok	lombok	1.18.12			
org.simplejavamail	batch-module	6.4.3			
org.simplejavamail	simple-java-mail	6.4.3			
org.slf4j	jcl-over-slf4j	1.7.30			
org.springframework.boot	spring-boot-starter	2.3.1.RELEASE			
org.springframework.boot	spring-boot-starter-test	2.3.1.RELEASE			
org.springframework.boot	spring-boot-starter-web	2.3.1.RELEASE			
org.springframework.shell	spring-shell-starter	2.0.1.RELEASE			
soap	soap	2.3.1			
wsdl4j	wsdl4j	1.6.3			
